,ID,Color,Amplitude
928,1129106,z,3.7575
929,1129315,z,0.5205
930,1129397,z,1.643
931,1129483,r,1.2255
932,1129529,z,0.928
933,1129597,z,1.3195
934,1129729,z,0.671
935,113006,z,2.7285
936,1130079,z,0.862
937,1130166,z,3.6665
938,1130225,z,1.6645
939,1130301,i,0.543
940,1130345,z,1.4315
941,1130454,z,1.7905
942,1130492,z,1.3385
943,1130575,z,2.924
944,1130621,z,0.9585
945,113067,i,0.7195
946,1130731,z,2.1325
947,1130844,z,1.2835
948,1131296,z,3.7905
949,1131298,i,1.362
950,1131307,z,1.2485
951,1131341,z,0.7045
952,1131486,z,2.7285
953,1131496,z,1.5555
954,1131498,i,0.6785
955,1131700,z,2.935
956,1131793,z,0.7465
957,1131798,z,1.9345
958,1131910,z,0.739
959,1131945,i,0.9225
960,1131957,z,0.7105
961,1132009,z,1.1825
962,1132215,z,2.9565
963,1132251,z,2.0765
964,1132313,z,3.2175
965,1132446,z,2.69
966,1133071,z,2.9105
967,1133126,z,1.0255
968,1133342,z,1.2205
969,1133412,z,1.403
970,113347,z,5.1885
971,1133534,z,1.3285
972,1133720,z,1.5155
973,1133892,i,2.075
974,113426,z,0.8145
975,1134401,z,1.079
976,1135009,z,2.2895
977,1135062,i,0.884
978,1135069,z,3.082
979,1135335,z,0.767
980,1135388,z,4.072
981,1135451,z,2.0785
982,113572,z,1.012
983,113577,i,0.4065
984,1135829,r,0.674
985,1135897,z,1.208
986,1135918,z,1.947
987,1135954,z,0.765
988,1136070,z,0.591
989,1136137,z,0.948
990,1136183,z,2.3215
991,1136346,z,1.827
992,1136599,i,1.2425
993,1136804,z,1.8825
994,1137004,z,1.363
995,1137047,z,3.2425
996,1137228,z,1.509
997,1137239,z,0.7725
998,1137584,z,0.733
999,1137589,z,3.0445
1000,1137816,z,1.5695
1001,1137869,z,1.4295
1002,1138017,z,2.5385
1003,1138300,z,1.203
1004,113834,z,2.745
1005,1138424,z,0.7865
1006,1138864,z,3.893
1007,1138949,z,1.094
1008,1138980,z,2.5635
1009,1139011,z,0.6315
1010,1139365,z,0.6505
1011,1139404,i,0.906
1012,1139766,z,1.344
1013,1139864,z,1.3515
1014,1139923,z,0.935
1015,1140113,z,1.588
1016,114012,z,1.532
1017,1140411,z,0.6995
1018,1140748,z,3.3755
1019,1140972,z,3.1175
1020,1141012,z,0.5415
1021,1141088,z,1.1095
1022,114109,z,0.618
1023,1141165,i,1.6475
1024,1141185,z,1.0965
1025,114127,z,2.223
1026,1141459,z,2.9375
1027,1141490,z,4.576
1028,1141712,z,0.969
1029,114191,z,0.617
1030,1141954,z,1.2475
1031,1142169,i,0.9985
1032,1142267,z,3.698
1033,1142298,z,2.2285
1034,1142377,z,2.617
1035,1142540,z,2.51
1036,1142584,z,3.263
1037,114272,z,0.987
1038,1142793,z,3.8285
1039,1142913,z,2.905
1040,1142929,z,1.693
1041,1142960,z,2.4755
1042,1143199,z,3.7405
1043,1143366,i,0.805
1044,1143378,z,2.513
1045,1143439,z,2.1335
1046,114346,i,0.796
1047,1143478,i,0.613
1048,1143479,z,1.97
1049,1143483,z,1.151
1050,1143708,i,1.317
1051,1143747,z,3.5015
1052,1143859,i,1.661
1053,1143882,z,3.432
1054,1143984,z,1.1485
1055,1144054,z,1.543
1056,1144174,z,0.684
1057,1144280,z,1.645
